Isolate ,carbohydrate,biorep,OD
UMA 112019-5,MRS,A,2.55
UMA 112019-5,MRS,B,2.05
UMA 112019-5,MRS,C,1.3
UMA 112019-5,Glucose,A,1.87
UMA 112019-5,Glucose,B,1.1
UMA 112019-5,Glucose,C,1.21
UMA 112019-5,Lactose,A,1.27
UMA 112019-5,Lactose,B,1.2
UMA 112019-5,Lactose,C,1.13
UMA 112019-5,LNT,A,0.93
UMA 112019-5,LNT,B,0.84
UMA 112019-5,LNT,C,0.94
UMA 112019-5,LNnT,A,0.94
UMA 112019-5,LNnT,B,0.82
UMA 112019-5,LNnT,C,0.81
UMA 112019-3,MRS,A,2.54
UMA 112019-3,MRS,B,2.11
UMA 112019-3,MRS,C,1.46
UMA 112019-3,Glucose,A,1.16
UMA 112019-3,Glucose,B,1.1
UMA 112019-3,Glucose,C,1.08
UMA 112019-3,Lactose,A,1.09
UMA 112019-3,Lactose,B,1.65
UMA 112019-3,Lactose,C,1.55
UMA 112019-3,LNT,A,1.1
UMA 112019-3,LNT,B,1.31
UMA 112019-3,LNT,C,1.04
UMA 112019-3,LNnT,A,1.14
UMA 112019-3,LNnT,B,0.99
UMA 112019-3,LNnT,C,0.84
UMA 062020-2,MRS,A,2.41
UMA 062020-2,MRS,B,2.21
UMA 062020-2,MRS,C,1.43
UMA 062020-2,Glucose,A,1.71
UMA 062020-2,Glucose,B,1.17
UMA 062020-2,Glucose,C,0.67
UMA 062020-2,Lactose,A,1.47
UMA 062020-2,Lactose,B,1.44
UMA 062020-2,Lactose,C,1.48
UMA 062020-2,LNT,A,0.5
UMA 062020-2,LNT,B,0.49
UMA 062020-2,LNT,C,1.21
UMA 062020-2,LNnT,A,1.06
UMA 062020-2,LNnT,B,0.52
UMA 062020-2,LNnT,C,1.06
UMA 112019-7,MRS,A,2.29
UMA 112019-7,MRS,B,1.52
UMA 112019-7,MRS,C,1.27
UMA 112019-7,Glucose,A,0.6
UMA 112019-7,Glucose,B,0.77
UMA 112019-7,Glucose,C,0.71
UMA 112019-7,Lactose,A,0.52
UMA 112019-7,Lactose,B,0.8
UMA 112019-7,Lactose,C,0.78
UMA 112019-7,LNT,A,0.62
UMA 112019-7,LNT,B,0.69
UMA 112019-7,LNT,C,0.7
UMA 112019-7,LNnT,A,0.77
UMA 112019-7,LNnT,B,0.82
UMA 112019-7,LNnT,C,0.91
UMA 112019-2,MRS,A,2.5
UMA 112019-2,MRS,B,2.07
UMA 112019-2,MRS,C,1.37
UMA 112019-2,Glucose,A,0.78
UMA 112019-2,Glucose,B,0.68
UMA 112019-2,Glucose,C,0.92
UMA 112019-2,Lactose,A,0.6
UMA 112019-2,Lactose,B,1.3
UMA 112019-2,Lactose,C,1.16
UMA 112019-2,LNT,A,1.26
UMA 112019-2,LNT,B,1.11
UMA 112019-2,LNT,C,1.33
UMA 112019-2,LNnT,A,1.13
UMA 112019-2,LNnT,B,1.15
UMA 112019-2,LNnT,C,1.07
B. infantis 272,MRS,A,2.18
B. infantis 272,MRS,B,1.92
B. infantis 272,MRS,C,1.27
B. infantis 272,Glucose,A,0.56
B. infantis 272,Glucose,B,0.58
B. infantis 272,Glucose,C,0.6
B. infantis 272,Lactose,A,1.47
B. infantis 272,Lactose,B,1.56
B. infantis 272,Lactose,C,1.52
B. infantis 272,LNT,A,1.24
B. infantis 272,LNT,B,1.33
B. infantis 272,LNT,C,1.27
B. infantis 272,LNnT,A,1.07
B. infantis 272,LNnT,B,1.06
B. infantis 272,LNnT,C,1.05